Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
127.0,Tyler Zeller,25.0,BOS,C,4.0,4.0,90.0,15.0,29.0,0.517,0.0,0.0,,15.0,29.0,0.517,0.517,4.0,5.0,0.8,2.0,16.0,18.0,2.0,2.0,1.0,4.0,5.0,34.0,0.0,
128.0,Nick Calathes,25.0,MEM,SG,9.0,3.0,126.0,12.0,36.0,0.333,6.0,13.0,0.462,6.0,23.0,0.261,0.417,3.0,8.0,0.375,1.0,15.0,16.0,16.0,9.0,1.0,10.0,15.0,33.0,0.0,
129.0,Kevin Séraphin,25.0,WAS,C,6.0,0.0,72.0,15.0,31.0,0.484,0.0,0.0,,15.0,31.0,0.484,0.484,3.0,6.0,0.5,3.0,16.0,19.0,2.0,2.0,1.0,4.0,10.0,33.0,0.0,
130.0,Greivis Vásquez,28.0,TOR,PG,4.0,0.0,101.0,11.0,29.0,0.379,5.0,14.0,0.357,6.0,15.0,0.4,0.466,3.0,3.0,1.0,0.0,7.0,7.0,12.0,2.0,0.0,4.0,15.0,30.0,0.0,
131.0,Charlie Villanueva,30.0,DAL,PF,5.0,0.0,43.0,11.0,25.0,0.44,8.0,19.0,0.421,3.0,6.0,0.5,0.6,0.0,0.0,,4.0,9.0,13.0,3.0,1.0,1.0,0.0,10.0,30.0,0.0,
132.0,Quincy Pondexter,26.0,NOP,SF,4.0,4.0,124.0,10.0,28.0,0.357,3.0,10.0,0.3,7.0,18.0,0.389,0.411,6.0,7.0,0.857,3.0,17.0,20.0,12.0,7.0,0.0,1.0,13.0,29.0,0.0,
133.0,Terrence Ross,23.0,TOR,SF,4.0,4.0,107.0,11.0,29.0,0.379,6.0,18.0,0.333,5.0,11.0,0.455,0.483,0.0,0.0,,0.0,6.0,6.0,4.0,3.0,4.0,2.0,10.0,28.0,0.0,
134.0,Kirk Hinrich,34.0,CHI,SG,10.0,0.0,126.0,9.0,19.0,0.474,6.0,10.0,0.6,3.0,9.0,0.333,0.632,2.0,3.0,0.667,0.0,5.0,5.0,11.0,3.0,1.0,1.0,14.0,26.0,0.0,
135.0,Robin Lopez,26.0,POR,C,5.0,5.0,117.0,9.0,15.0,0.6,0.0,0.0,,9.0,15.0,0.6,0.6,8.0,8.0,1.0,9.0,13.0,22.0,3.0,1.0,5.0,5.0,15.0,26.0,0.0,
136.0,Devin Harris,31.0,DAL,PG,4.0,0.0,74.0,8.0,23.0,0.348,0.0,11.0,0.0,8.0,12.0,0.667,0.348,8.0,9.0,0.889,1.0,7.0,8.0,4.0,2.0,0.0,4.0,10.0,24.0,0.0,
137.0,Tiago Splitter,30.0,SAS,C,7.0,7.0,123.0,9.0,24.0,0.375,0.0,0.0,,9.0,24.0,0.375,0.375,6.0,19.0,0.316,13.0,18.0,31.0,9.0,4.0,1.0,7.0,17.0,24.0,0.0,
138.0,Spencer Hawes,26.0,LAC,PF,8.0,0.0,57.0,9.0,17.0,0.529,3.0,6.0,0.5,6.0,11.0,0.545,0.618,2.0,2.0,1.0,3.0,10.0,13.0,5.0,2.0,3.0,1.0,12.0,23.0,0.0,
139.0,Dante Cunningham,27.0,NOP,PF,4.0,0.0,75.0,9.0,11.0,0.818,0.0,0.0,,9.0,11.0,0.818,0.818,3.0,3.0,1.0,4.0,14.0,18.0,2.0,3.0,4.0,0.0,7.0,21.0,0.0,
140.0,Brandon Bass,29.0,BOS,PF,4.0,4.0,86.0,7.0,20.0,0.35,0.0,0.0,,7.0,20.0,0.35,0.35,6.0,10.0,0.6,3.0,5.0,8.0,10.0,1.0,3.0,3.0,4.0,20.0,0.0,
141.0,Will Bynum,32.0,WAS,SG,3.0,0.0,31.0,7.0,14.0,0.5,1.0,2.0,0.5,6.0,12.0,0.5,0.536,4.0,5.0,0.8,2.0,1.0,3.0,3.0,2.0,1.0,5.0,6.0,19.0,0.0,
142.0,Jrue Holiday,24.0,NOP,PG,3.0,0.0,55.0,7.0,19.0,0.368,1.0,4.0,0.25,6.0,15.0,0.4,0.395,4.0,4.0,1.0,2.0,1.0,3.0,13.0,2.0,1.0,5.0,3.0,19.0,0.0,
143.0,Rajon Rondo,28.0,DAL,PG,2.0,2.0,37.0,9.0,20.0,0.45,1.0,2.0,0.5,8.0,18.0,0.444,0.475,0.0,0.0,,1.0,1.0,2.0,6.0,0.0,0.0,2.0,6.0,19.0,0.0,
144.0,Kelly Olynyk,23.0,BOS,C,4.0,0.0,53.0,7.0,13.0,0.538,3.0,6.0,0.5,4.0,7.0,0.571,0.654,1.0,2.0,0.5,2.0,3.0,5.0,2.0,2.0,2.0,4.0,12.0,18.0,0.0,
145.0,Richard Jefferson,34.0,DAL,SF,4.0,2.0,51.0,5.0,14.0,0.357,3.0,8.0,0.375,2.0,6.0,0.333,0.464,2.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,3.0,9.0,15.0,0.0,
146.0,Lester Hudson,30.0,LAC,SG,7.0,0.0,38.0,6.0,14.0,0.429,2.0,7.0,0.286,4.0,7.0,0.571,0.5,0.0,0.0,,0.0,1.0,1.0,7.0,2.0,1.0,3.0,8.0,14.0,0.0,
147.0,Nick Johnson,22.0,HOU,SG,9.0,0.0,49.0,4.0,17.0,0.235,1.0,7.0,0.143,3.0,10.0,0.3,0.265,3.0,3.0,1.0,1.0,3.0,4.0,4.0,0.0,1.0,4.0,7.0,12.0,0.0,
148.0,Mason Plumlee,24.0,BRK,C,6.0,0.0,49.0,4.0,6.0,0.667,0.0,0.0,,4.0,6.0,0.667,0.667,4.0,11.0,0.364,2.0,6.0,8.0,2.0,4.0,2.0,3.0,10.0,12.0,0.0,
149.0,Raymond Felton,30.0,DAL,PG,3.0,1.0,36.0,4.0,15.0,0.267,0.0,4.0,0.0,4.0,11.0,0.364,0.267,3.0,3.0,1.0,1.0,6.0,7.0,4.0,0.0,0.0,0.0,1.0,11.0,0.0,
150.0,Jonas Jerebko,27.0,BOS,PF,4.0,0.0,68.0,5.0,15.0,0.333,0.0,4.0,0.0,5.0,11.0,0.455,0.333,1.0,2.0,0.5,4.0,10.0,14.0,1.0,2.0,1.0,3.0,9.0,11.0,0.0,
151.0,Cory Joseph,23.0,SAS,PG,4.0,0.0,22.0,5.0,6.0,0.833,0.0,0.0,,5.0,6.0,0.833,0.833,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,11.0,0.0,
152.0,Allen Crabbe,22.0,POR,SG,2.0,1.0,39.0,4.0,5.0,0.8,2.0,2.0,1.0,2.0,3.0,0.667,1.0,0.0,0.0,,0.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,10.0,0.0,
153.0,John Jenkins,23.0,ATL,SG,4.0,0.0,21.0,4.0,6.0,0.667,2.0,4.0,0.5,2.0,2.0,1.0,0.833,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,
154.0,Chandler Parsons,26.0,DAL,SF,1.0,1.0,37.0,5.0,15.0,0.333,0.0,4.0,0.0,5.0,11.0,0.455,0.333,0.0,0.0,,0.0,6.0,6.0,2.0,0.0,0.0,1.0,1.0,10.0,0.0,
155.0,Kendrick Perkins,30.0,CLE,C,8.0,0.0,33.0,2.0,8.0,0.25,0.0,0.0,,2.0,8.0,0.25,0.25,6.0,10.0,0.6,2.0,7.0,9.0,0.0,0.0,3.0,4.0,6.0,10.0,0.0,
156.0,Hedo Türkoğlu,35.0,LAC,SF,11.0,0.0,55.0,4.0,17.0,0.235,2.0,13.0,0.154,2.0,4.0,0.5,0.294,0.0,0.0,,1.0,6.0,7.0,4.0,4.0,1.0,2.0,10.0,10.0,0.0,
157.0,Aron Baynes,28.0,SAS,C,4.0,0.0,40.0,3.0,10.0,0.3,0.0,0.0,,3.0,10.0,0.3,0.3,3.0,3.0,1.0,3.0,7.0,10.0,1.0,0.0,0.0,3.0,9.0,9.0,0.0,
158.0,Chris Kaman,32.0,POR,C,3.0,0.0,37.0,4.0,8.0,0.5,0.0,0.0,,4.0,8.0,0.5,0.5,1.0,1.0,1.0,5.0,9.0,14.0,3.0,0.0,0.0,3.0,5.0,9.0,0.0,
159.0,Mike Miller,34.0,CLE,SF,9.0,1.0,65.0,3.0,5.0,0.6,3.0,5.0,0.6,0.0,0.0,,0.9,0.0,0.0,,0.0,10.0,10.0,0.0,1.0,1.0,1.0,6.0,9.0,0.0,
160.0,Alexis Ajinça,26.0,NOP,C,3.0,0.0,10.0,4.0,4.0,1.0,0.0,0.0,,4.0,4.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,8.0,0.0,
161.0,Ömer Aşık,28.0,NOP,C,4.0,4.0,79.0,2.0,10.0,0.2,0.0,0.0,,2.0,10.0,0.2,0.2,4.0,7.0,0.571,12.0,17.0,29.0,6.0,5.0,0.0,5.0,10.0,8.0,0.0,
162.0,Joe Harris,23.0,CLE,SG,6.0,0.0,16.0,2.0,6.0,0.333,1.0,3.0,0.333,1.0,3.0,0.333,0.417,3.0,4.0,0.75,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,8.0,0.0,
163.0,Jordan Adams,20.0,MEM,SG,4.0,0.0,10.0,2.0,3.0,0.667,1.0,1.0,1.0,1.0,2.0,0.5,0.833,2.0,4.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,
164.0,Steve Blake,34.0,POR,PG,5.0,0.0,43.0,2.0,11.0,0.182,1.0,8.0,0.125,1.0,3.0,0.333,0.227,2.0,2.0,1.0,0.0,1.0,1.0,8.0,0.0,1.0,2.0,4.0,7.0,0.0,
165.0,Garrett Temple,28.0,WAS,SG,4.0,0.0,26.0,1.0,6.0,0.167,0.0,3.0,0.0,1.0,3.0,0.333,0.167,5.0,8.0,0.625,1.0,2.0,3.0,1.0,2.0,0.0,3.0,4.0,7.0,0.0,
166.0,Matt Bonner,34.0,SAS,PF,7.0,0.0,36.0,2.0,10.0,0.2,2.0,9.0,0.222,0.0,1.0,0.0,0.3,0.0,0.0,,0.0,6.0,6.0,1.0,0.0,1.0,1.0,8.0,6.0,0.0,
167.0,Markel Brown,23.0,BRK,SG,2.0,1.0,10.0,2.0,5.0,0.4,0.0,2.0,0.0,2.0,3.0,0.667,0.4,2.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,6.0,0.0,
168.0,Earl Clark,27.0,BRK,PF,2.0,0.0,13.0,2.0,10.0,0.2,2.0,3.0,0.667,0.0,7.0,0.0,0.3,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,
169.0,Johnny O'Bryant,21.0,MIL,PF,1.0,0.0,12.0,3.0,8.0,0.375,0.0,0.0,,3.0,8.0,0.375,0.375,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,
170.0,Arron Afflalo,29.0,POR,SG,3.0,3.0,60.0,2.0,12.0,0.167,1.0,4.0,0.25,1.0,8.0,0.125,0.208,0.0,1.0,0.0,0.0,7.0,7.0,2.0,0.0,0.0,3.0,6.0,5.0,0.0,
171.0,Tyler Ennis,20.0,MIL,PG,1.0,0.0,16.0,2.0,9.0,0.222,1.0,5.0,0.2,1.0,4.0,0.25,0.278,0.0,0.0,,3.0,1.0,4.0,3.0,0.0,0.0,0.0,1.0,5.0,0.0,
172.0,Tyler Hansbrough,29.0,TOR,PF,4.0,2.0,48.0,1.0,5.0,0.2,0.0,0.0,,1.0,5.0,0.2,0.2,3.0,4.0,0.75,1.0,5.0,6.0,3.0,2.0,1.0,2.0,8.0,5.0,0.0,
173.0,Doug McDermott,23.0,CHI,SF,3.0,0.0,10.0,1.0,3.0,0.333,1.0,2.0,0.5,0.0,1.0,0.0,0.5,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,
174.0,E'Twaun Moore,25.0,CHI,SG,3.0,0.0,9.0,2.0,6.0,0.333,1.0,1.0,1.0,1.0,5.0,0.2,0.417,0.0,0.0,,0.0,3.0,3.0,0.0,2.0,0.0,0.0,1.0,5.0,0.0,
